 % acoustic_params.win_size: 1024
 % acoustic_params.hop_size: 512
 % acoustic_params.min_freq: 86
 % acoustic_params.max_freq: 2000
 % acoustic_params.num_mel_filts: 20
 % acoustic_params.ITW: 1
@relation train_feature_2_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,}

@data
1,0.99936,0.79639,0.86023,0.74392,0.49014,0.40899,0.49977,0.48914,0.30484,0.21614,0.19169,0.12347,0.15489,0.11365,0.15358,0.12361,0.086805,0.018335,0,0.044321,0.20999,0.32595,0.65256,0.73838,1,0.50016,0.5095,0.43314,0.32528,0.075643,0.39312,0.20615,0.16389,0.25168,0.17016,0,0.23333,0.26205,0.61866,1
0.77508,0.9777,1,0.85695,0.86933,0.95729,0.73283,0.72054,0.69515,0.29837,0.27412,0.19003,0.15159,0.11396,0.10319,0.076253,0.056234,0.052034,0.038179,0,0.27686,0.53233,0.065904,0,0.76878,0.55074,0.24182,0.71863,1,0.1386,0.25387,0.35071,0.25437,0.1253,0.30729,0.17353,0.23689,0.31142,0.27522,0.29856,1
0.82605,0.99295,1,0.95543,0.91187,0.93719,0.75497,0.69517,0.65765,0.32883,0.22691,0.18307,0.13768,0.085798,0.061033,0.071188,0.025564,0,0.014522,0.058708,0.25023,0.24863,0.18874,0.25856,0.4401,0.54606,0,1,0.87939,0.43208,0.51402,0.25518,0.065247,0.66356,0.048289,0.62793,0.33244,0.63189,0.5259,0.66436,1
0.56287,0.78819,1,0.9626,0.45155,0.71151,0.61006,0.58825,0.78126,0.61091,0.3847,0.33686,0.34965,0.35379,0.17539,0.12858,0.096368,0.022286,0,0.0035989,0.14632,0.21005,0.31268,0.30238,0.63236,0.2745,0.37484,1,0.92365,0.42999,0.86779,0,0.24932,0.12205,0.40344,0.14739,0.36562,0.20832,0.72135,0.4564,1
0.787,0.85318,1,0.97967,0.40258,0.58739,0.55669,0.39706,0.5003,0.35703,0.25391,0.25364,0.19422,0.26168,0.049977,0.1079,0.13478,0.058247,0,0.032832,0.88297,0.73609,0,0.18881,0.74241,0.23226,0.52587,0.63539,0.52479,0.44782,0.4231,0.60855,0.56947,0.64145,0.3257,0.57565,0.88537,1,0.98278,0.76999,1
1,0.99278,0.88492,0.99171,0.77457,0.69294,0.69663,0.76375,0.83679,0.6427,0.45723,0.37835,0.25521,0.25371,0.15637,0.22786,0.22646,0.13346,0.080232,0,1,0.83436,0.25469,0.28221,0.56995,0.43995,0.30108,0.58207,0.31151,0,0.015526,0.35191,0.56661,0.4524,0.61232,0.23285,0.30202,0.49066,0.54342,0.5188,1
0.53308,0.5502,0.83646,1,0.74473,0.38773,0.57863,0.63946,0.51473,0.54663,0.52492,0.25723,0.29105,0.21644,0.14056,0.18713,0.2502,0.21312,0.10526,0,0.67622,0.60874,0.47738,0.48558,0.27282,0.48227,0.48145,1,0.70449,0.71675,0.76126,0.70392,0.25844,0.21449,0,0.36588,0.59735,0.84536,0.76432,0.60025,1
0.53106,0.5324,0.84337,1,0.75388,0.40111,0.77609,0.71568,0.4212,0.3978,0.30882,0.27155,0.33296,0.32272,0.29268,0.2248,0.15152,0.12177,0.095613,0,0.53782,0.81505,0.75938,0.52191,0,0.8338,0.48648,0.48543,1,0.95059,0.83662,0.77958,0.68477,0.60987,0.33968,0.57706,0.58679,0.5496,0.37432,0.53245,1
0.5646,0.66376,0.93816,1,0.56205,0.79988,0.92136,0.79558,0.60298,0.58554,0.43745,0.24291,0.2062,0.17616,0.15811,0.26136,0.18839,0.070994,0.062748,0,0.53247,0.1985,0.45488,0.61413,0.88595,0.37266,0.65066,0.79128,0.7811,0.7931,0.83399,0.77928,0.79641,0.18216,1,0.92963,0,0.9059,0.86165,0.65434,1
0.70846,0.72612,0.93567,1,0.60282,0.58041,0.7096,0.63088,0.58452,0.56566,0.43438,0.24661,0.20465,0.17446,0.19046,0.28453,0.21197,0.10564,0.063005,0,0,0.14032,0.44604,0.47105,0.62468,0.96074,1,0.70667,0.38631,0.50361,0.54818,0.60908,0.4907,0.46609,0.67622,0.44633,0.095612,0.15662,0.10706,0.45513,1
